[INFO ] 2020-06-30 17:22:24.102  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.102  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.103  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.103  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.104  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.104  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.104  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:24.105  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:25.109  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:25.110  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:25.112  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:25.113  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:25.114  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:25.115  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:25.116  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:25.117  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:25.118  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:25.120  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:25.123  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:25.124  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:25.126  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:25.127  - Соединение уcтановлено: /127.0.0.1:8080
[INFO ] 2020-06-30 17:22:25.128  - Соединение уcтановлено: /127.0.0.1:8080
